timestamp,event_type,bin_id,fill_level,status,fill_level_before,fill_level_after
2026-03-07T20:19:05+00:00,fill_update,P001,26.09,normal,,
2026-03-07T20:19:05+00:00,fill_update,P002,85.05,critique,,
2026-03-07T20:19:05+00:00,fill_update,P003,67.31,a_surveille,,
2026-03-07T20:19:05+00:00,fill_update,P004,93.44,critique,,
2026-03-07T20:19:05+00:00,fill_update,P005,46.2,normal,,
2026-03-07T20:19:05+00:00,fill_update,P006,81.09,critique,,
2026-03-07T20:19:05+00:00,fill_update,P007,38.68,normal,,
2026-03-07T20:19:05+00:00,fill_update,P009,55.93,a_surveille,,
2026-03-07T20:19:50+00:00,fill_update,P001,27.18,normal,,
2026-03-07T20:19:50+00:00,fill_update,P002,86.1,critique,,
2026-03-07T20:19:50+00:00,fill_update,P003,67.62,a_surveille,,
2026-03-07T20:19:50+00:00,fill_update,P004,94.87,critique,,
2026-03-07T20:19:50+00:00,fill_update,P005,47.41,normal,,
2026-03-07T20:19:50+00:00,fill_update,P006,81.17,critique,,
2026-03-07T20:19:50+00:00,fill_update,P007,39.36,normal,,
2026-03-07T20:19:50+00:00,fill_update,P009,56.85,a_surveille,,
2026-03-07T20:20:12+00:00,collection_reset,P002,,,86.1,0.0
2026-03-07T20:20:12+00:00,collection_reset,P004,,,94.87,0.0
2026-03-07T20:20:12+00:00,collection_reset,P006,,,81.17,0.0
2026-03-07T20:20:59+00:00,fill_update,P001,28.27,normal,,
2026-03-07T20:20:59+00:00,fill_update,P002,1.05,normal,,
2026-03-07T20:20:59+00:00,fill_update,P003,67.93,a_surveille,,
2026-03-07T20:20:59+00:00,fill_update,P004,1.44,normal,,
2026-03-07T20:20:59+00:00,fill_update,P005,48.61,normal,,
2026-03-07T20:20:59+00:00,fill_update,P006,0.09,normal,,
2026-03-07T20:20:59+00:00,fill_update,P007,40.05,normal,,
2026-03-07T20:20:59+00:00,fill_update,P009,57.78,a_surveille,,
2026-03-07T20:22:46+00:00,fill_update,P001,29.36,normal,,
2026-03-07T20:22:46+00:00,fill_update,P002,2.1,normal,,
2026-03-07T20:22:46+00:00,fill_update,P003,68.24,a_surveille,,
2026-03-07T20:22:46+00:00,fill_update,P004,2.87,normal,,
2026-03-07T20:22:46+00:00,fill_update,P005,49.82,normal,,
2026-03-07T20:22:46+00:00,fill_update,P006,0.17,normal,,
2026-03-07T20:22:46+00:00,fill_update,P007,40.73,normal,,
2026-03-07T20:22:46+00:00,fill_update,P009,58.7,a_surveille,,
2026-03-07T20:23:51+00:00,fill_update,P001,30.45,normal,,
2026-03-07T20:23:51+00:00,fill_update,P002,3.16,normal,,
2026-03-07T20:23:51+00:00,fill_update,P003,68.55,a_surveille,,
2026-03-07T20:23:51+00:00,fill_update,P004,4.31,normal,,
2026-03-07T20:23:51+00:00,fill_update,P005,51.02,a_surveille,,
2026-03-07T20:23:51+00:00,fill_update,P006,0.26,normal,,
2026-03-07T20:23:51+00:00,fill_update,P007,41.41,normal,,
2026-03-07T20:23:51+00:00,fill_update,P009,59.63,a_surveille,,
2026-03-07T20:24:08+00:00,fill_update,P001,31.54,normal,,
2026-03-07T20:24:08+00:00,fill_update,P002,4.21,normal,,
2026-03-07T20:24:08+00:00,fill_update,P003,68.86,a_surveille,,
2026-03-07T20:24:08+00:00,fill_update,P004,5.74,normal,,
2026-03-07T20:24:08+00:00,fill_update,P005,52.23,a_surveille,,
2026-03-07T20:24:08+00:00,fill_update,P006,0.34,normal,,
2026-03-07T20:24:08+00:00,fill_update,P007,42.09,normal,,
2026-03-07T20:24:08+00:00,fill_update,P009,60.56,a_surveille,,
2026-03-07T20:26:16+00:00,fill_update,P001,32.63,normal,,
2026-03-07T20:26:16+00:00,fill_update,P002,5.26,normal,,
2026-03-07T20:26:16+00:00,fill_update,P003,69.17,a_surveille,,
2026-03-07T20:26:16+00:00,fill_update,P004,7.18,normal,,
2026-03-07T20:26:16+00:00,fill_update,P005,53.43,a_surveille,,
2026-03-07T20:26:16+00:00,fill_update,P006,0.43,normal,,
2026-03-07T20:26:16+00:00,fill_update,P007,42.77,normal,,
2026-03-07T20:26:16+00:00,fill_update,P009,61.48,a_surveille,,
2026-03-07T20:28:55+00:00,fill_update,P001,32.72,normal,,
